"sim:O->X"	"sim:X->O"	"sim:OX|XO"	"sim:X"	"fit:O->X"	"fit:X->O"	"fit:OX|XO"	"fit:X"	"leftwin"	"longwin"	"shortwin"	"rowtaxon"	"loglik"	"convergence"
0.05	0.05	1	0.5	0.049	0.0513	1.0334	0.4771	1	4	2	"root"	-22007.5108	0
0.05	0.05	1	0.5	0.0489	0.0515	1.041	0.4865	1	3	1	"root"	-11009.3277	0
0.05	0.05	1	0.5	0.0501	0.0529	1.0136	0.5592	2	6	2	"root"	-22309.758	0
0.05	0.05	1	0.5	0.0502	0.0529	1.0139	0.5579	1	5	3	"root"	-33453.6062	0
0.05	0.05	1	0.5	0.0502	0.0529	1.014	0.5594	1	4	2	"root"	-22309.3403	0
0.05	0.05	1	0.5	0.0501	0.0531	1.0147	0.5644	1	3	1	"root"	-11164.9762	0
0.05	0.05	1	0.5	0.0521	0.0501	1.0027	0.4246	2	6	2	"root"	-22326.6016	0
0.05	0.05	1	0.5	0.052	0.0502	1.0022	0.4273	1	5	3	"root"	-33480.4329	0
0.05	0.05	1	0.5	0.0521	0.0502	1.0028	0.4254	1	4	2	"root"	-22325.9265	0
0.05	0.05	1	0.5	0.0522	0.0501	1.0045	0.4195	1	3	1	"root"	-11171.4226	0
0.05	0.05	1	0.5	0.0518	0.0487	1.0254	0.3751	2	6	2	"root"	-22121.1653	0
0.05	0.05	1	0.5	0.0518	0.0488	1.0235	0.3766	1	5	3	"root"	-33172.2904	0
0.05	0.05	1	0.5	0.0518	0.0488	1.0232	0.3758	1	4	2	"root"	-22121.5401	0
0.05	0.05	1	0.5	0.0518	0.0488	1.0199	0.3776	1	3	1	"root"	-11071.1878	0
0.05	0.05	1	0.5	0.053	0.0506	0.9742	0.4995	2	6	2	"root"	-22606.6869	0
0.05	0.05	1	0.5	0.0529	0.0507	0.9756	0.505	1	5	3	"root"	-33896.9846	0
0.05	0.05	1	0.5	0.053	0.0506	0.9727	0.5003	1	4	2	"root"	-22607.2331	0
0.05	0.05	1	0.5	0.0532	0.0504	0.9645	0.4865	1	3	1	"root"	-11317.2515	0
0.05	0.05	1	0.5	0.0516	0.0488	0.9832	0.4341	2	6	2	"root"	-22079.6951	0
0.05	0.05	1	0.5	0.0516	0.0488	0.98	0.4336	1	5	3	"root"	-33112.0358	0
0.05	0.05	1	0.5	0.0517	0.0488	0.9811	0.4326	1	4	2	"root"	-22080.3163	0
0.05	0.05	1	0.5	0.0518	0.0487	0.9826	0.4291	1	3	1	"root"	-11048.9569	0
