"sim:O->X"	"sim:X->O"	"sim:OX|XO"	"sim:X"	"fit:O->X"	"fit:X->O"	"fit:OX|XO"	"fit:X"	"leftwin"	"longwin"	"shortwin"	"rowtaxon"	"loglik"	"convergence"
0.05	0.05	1	0.5	0.0503	0.0475	1.0976	0.4903	1	3	1	"root"	-10744.164	0
0.05	0.05	1	0.5	0.0494	0.0524	1.0398	0.5427	2	6	2	"root"	-21978.0146	0
0.05	0.05	1	0.5	0.0493	0.0526	1.0403	0.5472	1	5	3	"root"	-32955.2158	0
0.05	0.05	1	0.5	0.0494	0.0525	1.0395	0.5432	1	4	2	"root"	-21977.7647	0
0.05	0.05	1	0.5	0.0496	0.0523	1.0362	0.5325	1	3	1	"root"	-11000.5338	0
0.05	0.05	1	0.5	0.0509	0.0498	1.0355	0.436	2	6	2	"root"	-21993.5092	0
0.05	0.05	1	0.5	0.0509	0.0498	1.0343	0.4353	1	5	3	"root"	-32982.4861	0
0.05	0.05	1	0.5	0.0509	0.0499	1.0362	0.4372	1	4	2	"root"	-21992.9415	0
0.05	0.05	1	0.5	0.0509	0.05	1.042	0.4432	1	3	1	"root"	-11003.2961	0
0.05	0.05	1	0.5	0.051	0.0488	1.0099	0.5093	2	6	2	"root"	-21874.3507	0
0.05	0.05	1	0.5	0.0509	0.0489	1.0104	0.5119	1	5	3	"root"	-32801.1022	0
0.05	0.05	1	0.5	0.051	0.0488	1.0093	0.51	1	4	2	"root"	-21874.436	0
0.05	0.05	1	0.5	0.0511	0.0487	1.0067	0.5038	1	3	1	"root"	-10947.4379	0
0.05	0.05	1	0.5	0.0483	0.0537	0.9952	0.4856	2	6	2	"root"	-22108.3835	0
0.05	0.05	1	0.5	0.0484	0.0537	0.9947	0.4846	1	5	3	"root"	-33152.1647	0
0.05	0.05	1	0.5	0.0483	0.0537	0.9934	0.4864	1	4	2	"root"	-22109.0394	0
0.05	0.05	1	0.5	0.0483	0.0539	0.9894	0.4907	1	3	1	"root"	-11065.8394	0
0.05	0.05	1	0.5	0.0511	0.0533	1.0089	0.6155	2	6	2	"root"	-22553.9288	0
0.05	0.05	1	0.5	0.0511	0.0534	1.0092	0.6178	1	5	3	"root"	-33820.1869	0
0.05	0.05	1	0.5	0.0511	0.0534	1.008	0.6163	1	4	2	"root"	-22554.0059	0
0.05	0.05	1	0.5	0.0512	0.0533	1.0038	0.6112	1	3	1	"root"	-11287.6259	0
0.05	0.05	1	0.5	0.0473	0.052	0.942	0.5676	2	6	2	"root"	-21827.26	0
0.05	0.05	1	0.5	0.0473	0.0521	0.9434	0.5698	1	5	3	"root"	-32730.6716	0
0.05	0.05	1	0.5	0.0474	0.052	0.9413	0.5671	1	4	2	"root"	-21827.3206	0
0.05	0.05	1	0.5	0.0475	0.0519	0.9371	0.5583	1	3	1	"root"	-10923.2973	0
0.05	0.05	1	0.5	0.0493	0.0519	0.9229	0.5532	2	6	2	"root"	-22179.9749	0
0.05	0.05	1	0.5	0.0493	0.052	0.9215	0.5542	1	5	3	"root"	-33263.0116	0
0.05	0.05	1	0.5	0.0493	0.052	0.9216	0.5548	1	4	2	"root"	-22180.4754	0
0.05	0.05	1	0.5	0.0493	0.0521	0.922	0.5575	1	3	1	"root"	-11097.7696	0
0.05	0.05	1	0.5	0.0493	0.047	1.031	0.3503	2	6	2	"root"	-21386.4569	0
0.05	0.05	1	0.5	0.0493	0.047	1.026	0.3496	1	5	3	"root"	-32075.3115	0
0.05	0.05	1	0.5	0.0493	0.0471	1.0289	0.3503	1	4	2	"root"	-21386.7555	0
0.05	0.05	1	0.5	0.0493	0.0471	1.0375	0.3524	1	3	1	"root"	-10698.1549	0
0.05	0.05	1	0.5	0.0519	0.0498	1.0091	0.4836	2	6	2	"root"	-22296.8995	0
0.05	0.05	1	0.5	0.0519	0.0499	1.0087	0.4864	1	5	3	"root"	-33435.4489	0
0.05	0.05	1	0.5	0.052	0.0499	1.007	0.4829	1	4	2	"root"	-22297.4845	0
0.05	0.05	1	0.5	0.0521	0.0497	1.0027	0.4729	1	3	1	"root"	-11159.2753	0
0.05	0.05	1	0.5	0.0476	0.0487	0.9201	0.4758	2	6	2	"root"	-21394.9775	0
0.05	0.05	1	0.5	0.0476	0.0487	0.9214	0.475	1	5	3	"root"	-32083.8739	0
0.05	0.05	1	0.5	0.0476	0.0488	0.92	0.4765	1	4	2	"root"	-21394.7347	0
0.05	0.05	1	0.5	0.0475	0.0489	0.9165	0.481	1	3	1	"root"	-10705.2305	0
0.05	0.05	1	0.5	0.0513	0.0505	0.9537	0.4056	2	6	2	"root"	-22336.144	0
0.05	0.05	1	0.5	0.0513	0.0506	0.9509	0.4059	1	5	3	"root"	-33496.4883	0
0.05	0.05	1	0.5	0.0513	0.0506	0.9514	0.4059	1	4	2	"root"	-22336.7813	0
0.05	0.05	1	0.5	0.0513	0.0506	0.9532	0.4064	1	3	1	"root"	-11177.0164	0
0.05	0.05	1	0.5	0.0485	0.0527	1.0124	0.5587	2	6	2	"root"	-22051.4338	0
0.05	0.05	1	0.5	0.0486	0.0527	1.0133	0.5579	1	5	3	"root"	-33066.2207	0
0.05	0.05	1	0.5	0.0486	0.0527	1.011	0.5582	1	4	2	"root"	-22055.5115	0
0.05	0.05	1	0.5	0.0486	0.0528	1.004	0.5588	1	3	1	"root"	-11041.2141	0
0.05	0.05	1	0.5	0.05	0.0485	0.9706	0.564	2	6	2	"root"	-21675.919	0
0.05	0.05	1	0.5	0.05	0.0485	0.9693	0.5639	1	5	3	"root"	-32507.1616	0
0.05	0.05	1	0.5	0.05	0.0485	0.9693	0.5637	1	4	2	"root"	-21676.3392	0
0.05	0.05	1	0.5	0.05	0.0485	0.9697	0.5629	1	3	1	"root"	-10845.3302	0
0.05	0.05	1	0.5	0.048	0.0504	0.9714	0.5521	2	6	2	"root"	-21738.6337	0
0.05	0.05	1	0.5	0.048	0.0505	0.9696	0.5538	1	5	3	"root"	-32601.8189	0
0.05	0.05	1	0.5	0.0481	0.0505	0.9702	0.5533	1	4	2	"root"	-21738.8701	0
0.05	0.05	1	0.5	0.0481	0.0505	0.9742	0.552	1	3	1	"root"	-10875.4192	0
0.05	0.05	1	0.5	0.0514	0.0516	1.0669	0.518	2	6	2	"root"	-22423.5566	0
0.05	0.05	1	0.5	0.0514	0.0516	1.0699	0.5186	1	5	3	"root"	-33618.6633	0
0.05	0.05	1	0.5	0.0515	0.0516	1.0654	0.5172	1	4	2	"root"	-22423.8038	0
0.05	0.05	1	0.5	0.0515	0.0517	1.053	0.5139	1	3	1	"root"	-11228.4356	0
0.05	0.05	1	0.5	0.0502	0.0524	0.9968	0.5737	2	6	2	"root"	-22256.5176	0
0.05	0.05	1	0.5	0.0502	0.0524	0.9953	0.5733	1	5	3	"root"	-33380.542	0
0.05	0.05	1	0.5	0.0502	0.0524	0.996	0.5742	1	4	2	"root"	-22256.6838	0
0.05	0.05	1	0.5	0.0502	0.0525	0.9987	0.5775	1	3	1	"root"	-11132.6525	0
