"sim:A->T"	"sim:T->A"	"sim:C->G"	"sim:G->C"	"sim:A->C"	"sim:T->G"	"sim:A->G"	"sim:T->C"	"sim:C->A"	"sim:G->T"	"sim:C->T"	"sim:G->A"	"sim:CG->TG|CG->CA"	"sim:C|G"	"sim:Ne"	"fit:A->T"	"fit:T->A"	"fit:C->G"	"fit:G->C"	"fit:A->C"	"fit:T->G"	"fit:A->G"	"fit:T->C"	"fit:C->A"	"fit:G->T"	"fit:C->T"	"fit:G->A"	"fit:CG->TG|CG->CA"	"fit:C|G"	"fit:Ne"	"leftwin"	"longwin"	"shortwin"	"rowtaxon"	"loglik"	"convergence"
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.0099	0.015	0.0153	0.0074	0.0081	0.0083	0.0074	0.0121	0.0119	0.0119	0.012	0.04	0.0014	684.0608	1	3	1	"root"	-18493.5492	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1011.5818	1	5	2	"root"	-37447.9737	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1011.5791	2	6	2	"root"	-37447.9294	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1011.5845	1	4	2	"root"	-37448.0181	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1011.6105	1	3	1	"root"	-18727.5747	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0094	0.0096	0.0136	0.016	0.0076	0.0078	0.0079	0.0078	0.0122	0.0118	0.0115	0.0119	0.04	3e-04	4150.828	1	5	2	"root"	-37023.3277	1
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0095	0.0097	0.014	0.0157	0.0074	0.0078	0.0081	0.0077	0.0121	0.0119	0.0117	0.0119	0.04	0.0016	679.6067	2	6	2	"root"	-37024.9093	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0095	0.0097	0.014	0.0157	0.0074	0.0078	0.0081	0.0077	0.0121	0.0119	0.0117	0.0119	0.04	0.0018	593.7289	1	4	2	"root"	-37025.0748	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0095	0.0097	0.014	0.0157	0.0074	0.0078	0.0081	0.0077	0.0121	0.0119	0.0117	0.0119	0.04	0.0015	690.6373	1	3	1	"root"	-18513.9782	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	994.1349	1	5	2	"root"	-37061.2084	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	994.1371	2	6	2	"root"	-37061.1395	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	994.1377	1	4	2	"root"	-37061.2534	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	994.134	1	3	1	"root"	-18530.4305	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	988.6155	1	5	2	"root"	-37126.0105	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	988.6127	2	6	2	"root"	-37125.9652	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	988.6133	1	4	2	"root"	-37126.0794	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	988.6047	1	3	1	"root"	-18564.1972	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0088	0.0087	0.0142	0.014	0.0087	0.0078	0.0081	0.0085	0.0117	0.0119	0.0117	0.0124	0.04	6e-04	1569.0656	1	5	2	"root"	-36780.4887	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0088	0.0087	0.0142	0.014	0.0087	0.0078	0.0081	0.0085	0.0117	0.0119	0.0117	0.0124	0.04	6e-04	1573.9554	2	6	2	"root"	-36780.3957	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0088	0.0087	0.0142	0.014	0.0087	0.0078	0.0081	0.0085	0.0117	0.0119	0.0117	0.0124	0.04	6e-04	1566.2723	1	4	2	"root"	-36780.5805	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0088	0.0087	0.0142	0.014	0.0087	0.0078	0.0081	0.0085	0.0117	0.0119	0.0118	0.0124	0.04	7e-04	1374.3793	1	3	1	"root"	-18395.9775	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1027.7666	1	5	2	"root"	-38088.96	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1027.7739	2	6	2	"root"	-38088.8636	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1027.7642	1	4	2	"root"	-38089.03	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1027.8009	1	3	1	"root"	-19046.3186	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	991.0002	1	5	2	"root"	-37132.4817	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	991.0023	2	6	2	"root"	-37132.4128	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	990.8188	1	4	2	"root"	-37138.0819	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	990.8055	1	3	1	"root"	-18571.4416	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0101	0.0098	0.0152	0.015	0.0082	0.0073	0.0077	0.0076	0.0119	0.0117	0.0118	0.0121	0.04	0.0017	607.6344	1	5	2	"root"	-36951.7565	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0101	0.0098	0.0152	0.015	0.0082	0.0073	0.0077	0.0076	0.0119	0.0117	0.0118	0.0121	0.04	0.0017	612.5481	2	6	2	"root"	-36951.6872	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0101	0.0096	0.0155	0.0151	0.0078	0.0073	0.0075	0.0075	0.0119	0.0112	0.0116	0.0123	0.04	0.001	1090.3652	1	4	2	"root"	-36950.2107	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0101	0.0096	0.0155	0.0151	0.0078	0.0073	0.0075	0.0075	0.0119	0.0112	0.0115	0.0123	0.04	0.0011	1003.5247	1	3	1	"root"	-18475.4873	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0109	0.0115	0.0157	0.0159	0.0074	0.008	0.0075	0.0075	0.0124	0.0116	0.0115	0.0117	0.04	9e-04	1190.0949	1	5	2	"root"	-37718.2121	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0109	0.0116	0.0157	0.0159	0.0074	0.008	0.0075	0.0075	0.0124	0.0116	0.0115	0.0117	0.04	8e-04	1249.9176	2	6	2	"root"	-37718.1392	0
